시간,규모,진앙(km),위도,경도,위치
2016-06-21 3:23,3.1, ,39.49,126.19,북한 평안남도 성천군 북쪽 28km 지역
2016-06-25 3:24,2.6, ,38.74,125.86,북한 황해북도 송림시 20km 지역
2016-07-05 20:33,5, ,35.51,129.99,울산 동구 동쪽 52km 해역
2016-07-05 21:24,2.6, ,35.51,129.87,울산 동구 동쪽 41km 해역
2016-07-09 4:47,2.3, ,35.48,129.97,울산 동구 동쪽 50km 해역
2016-07-09 13:16,2.6, ,38.69,125.83,북한 황해북도 송림시 동남동쪽 18km 지역
2016-07-13 14:13,2, ,36.8,128.53,경북 영주시 서쪽 9km 지역
2016-07-14 22:31,2.8, ,35.12,130.24,울산 동구 동남동쪽 86km 해역
2016-07-30 1:51,2.3, ,33.06,126.33,제주 서귀포시 남서쪽 27km 해역
2016-08-16 11:57,2.4, ,36.75,128.84,경북 안동시 북북동쪽 22km 지역
2016-08-17 11:17,2.9, ,38.35,128.09,북한 강원도 양구군 북북동쪽 28km 지역
2016-08-18 17:08,2.1, ,37.18,125.46,인천 옹진군 연평도 남남서쪽 58km 해역
2016-08-18 22:21,2.6, ,38.84,125.7,북한 황해북도 송림시 북북동쪽 13km 지역
2016-08-20 12:18,3, ,38.38,128.09,북한 강원도 양구군 북북동쪽 32km 지역
2016-08-20 18:54,2.9, ,33.48,127.31,제주 서귀포시 성산 동북동쪽 41km 해역
2016-08-28 21:27,2.4, ,38.65,127.16,북한 강원도 평강 북북서쪽 29km 지역
2016-08-28 23:27,2.1, ,35.65,127.48,전북 장수군 서쪽 4km 지역
2016-08-30 0:39,2.6, ,35.55,128.03,경남 합천군 서쪽 13km 지역
2016-09-12 19:44,5.1, ,35.77,129.19,경북 경주시 남남서쪽 8.2km 지역
2016-09-12 19:45,2.4, ,35.78,129.2,경북 경주시 남남서쪽 7km 지역
2016-09-12 19:46,2.2, ,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-12 19:48,3.1, ,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:50,2.2, ,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:53,2.1, ,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:55,2.4, ,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:00,2.4, ,35.78,129.16,경북 경주시 남서쪽 8km 지역
2016-09-12 20:04,2.5, ,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:07,2.6, ,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:08,2.7, ,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:09,2.7, ,35.76,129.17,경북 경주시 남남서쪽 10km 지역
